,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,07.png,lamp1,48,389,30,25
1,1,07.png,lamp1,113,385,31,28
2,2,07.png,lamp1,190,379,35,27
3,3,07.png,lamp1,287,374,35,29
4,4,07.png,lamp1,399,367,41,34
5,5,07.png,lamp1,558,358,47,37
6,6,07.png,lamp1,120,350,26,22
7,7,07.png,lamp1,182,343,28,23
8,8,07.png,lamp1,254,336,28,24
9,9,07.png,lamp1,338,328,31,26
10,10,07.png,lamp1,439,316,35,29
11,11,07.png,lamp1,567,304,40,33
12,12,07.png,lamp1,173,320,26,20
13,13,07.png,lamp1,231,312,26,22
14,14,07.png,lamp1,298,304,24,20
15,15,07.png,lamp1,376,294,27,24
16,16,07.png,lamp1,466,282,31,26
17,17,07.png,lamp1,574,267,34,25
