,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,10.png,lamp1,587,387,28,24
1,1,1,10.png,lamp1,523,383,32,28
2,2,2,10.png,lamp1,446,378,35,29
3,3,3,10.png,lamp1,351,372,34,31
4,4,4,10.png,lamp1,236,367,39,36
5,5,5,10.png,lamp1,80,357,47,41
6,6,6,10.png,lamp1,517,349,24,21
7,7,7,10.png,lamp1,455,343,28,22
8,8,8,10.png,lamp1,383,334,27,24
9,9,9,10.png,lamp1,299,327,30,26
10,10,10,10.png,lamp1,197,316,34,29
11,11,11,10.png,lamp1,69,304,40,31
12,12,12,10.png,lamp1,463,318,23,20
13,13,13,10.png,lamp1,404,311,22,21
14,14,14,10.png,lamp1,338,302,24,21
15,15,15,10.png,lamp1,261,293,28,22
16,16,16,10.png,lamp1,171,282,31,26
17,17,17,10.png,lamp1,61,266,33,25
