,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,01.png,lamp1,574,371,30,25
1,1,1,01.png,lamp1,511,371,31,24
2,2,2,01.png,lamp1,436,369,34,28
3,3,3,01.png,lamp1,343,370,34,30
4,4,4,01.png,lamp1,230,371,41,36
5,5,5,01.png,lamp1,72,369,47,40
6,6,6,01.png,lamp1,503,338,25,24
7,7,7,01.png,lamp1,442,336,26,21
8,8,8,01.png,lamp1,371,332,28,22
9,9,9,01.png,lamp1,288,329,30,26
10,10,10,01.png,lamp1,186,325,34,29
11,11,11,01.png,lamp1,56,320,41,33
12,12,12,01.png,lamp1,449,313,24,20
13,13,13,01.png,lamp1,391,309,22,20
14,14,14,01.png,lamp1,325,304,24,21
15,15,15,01.png,lamp1,247,299,27,23
16,16,16,01.png,lamp1,157,292,29,25
17,17,17,01.png,lamp1,46,284,37,28
