,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,02.png,lamp1,43,399,30,26
1,1,02.png,lamp1,110,394,31,30
2,2,02.png,lamp1,190,388,34,30
3,3,02.png,lamp1,287,381,36,33
4,4,02.png,lamp1,406,372,40,38
5,5,02.png,lamp1,565,360,47,40
6,6,02.png,lamp1,115,358,27,26
7,7,02.png,lamp1,180,353,31,27
8,8,02.png,lamp1,254,343,29,26
9,9,02.png,lamp1,339,332,30,27
10,10,02.png,lamp1,443,321,35,27
11,11,02.png,lamp1,572,307,38,32
12,12,02.png,lamp1,170,328,26,20
13,13,02.png,lamp1,230,318,24,21
14,14,02.png,lamp1,298,310,24,22
15,15,02.png,lamp1,377,299,28,23
16,16,02.png,lamp1,466,287,33,28
17,17,02.png,lamp1,576,269,36,29
