,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,04.png,lamp1,581,389,29,24
1,1,1,04.png,lamp1,515,385,30,28
2,2,2,04.png,lamp1,437,378,32,29
3,3,3,04.png,lamp1,341,372,33,32
4,4,4,04.png,lamp1,224,363,40,34
5,5,5,04.png,lamp1,63,349,50,37
6,6,6,04.png,lamp1,511,349,26,22
7,7,7,04.png,lamp1,448,341,27,21
8,8,8,04.png,lamp1,376,332,29,23
9,9,9,04.png,lamp1,291,322,31,27
10,10,10,04.png,lamp1,187,309,36,31
11,11,11,04.png,lamp1,57,295,40,35
12,12,12,04.png,lamp1,459,316,22,20
13,13,13,04.png,lamp1,399,308,24,20
14,14,14,04.png,lamp1,333,298,26,23
15,15,15,04.png,lamp1,254,286,29,23
16,16,16,04.png,lamp1,162,272,30,26
17,17,17,04.png,lamp1,52,255,36,26
