,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,08.png,lamp1,591,404,32,26
1,1,1,08.png,lamp1,525,399,31,27
2,2,2,08.png,lamp1,446,391,34,27
3,3,3,08.png,lamp1,348,382,35,35
4,4,4,08.png,lamp1,231,373,40,34
5,5,5,08.png,lamp1,73,358,49,38
6,6,6,08.png,lamp1,521,363,27,21
7,7,7,08.png,lamp1,456,355,26,24
8,8,8,08.png,lamp1,385,343,27,25
9,9,9,08.png,lamp1,299,333,30,27
10,10,10,08.png,lamp1,195,320,35,30
11,11,11,08.png,lamp1,66,304,40,31
12,12,12,08.png,lamp1,467,331,25,18
13,13,13,08.png,lamp1,408,321,24,22
14,14,14,08.png,lamp1,340,311,25,21
15,15,15,08.png,lamp1,263,297,28,25
16,16,16,08.png,lamp1,172,282,31,25
17,17,17,08.png,lamp1,63,265,33,25
