,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,06.png,lamp1,51,391,33,24
1,1,06.png,lamp1,118,385,34,27
2,2,06.png,lamp1,195,379,34,29
3,3,06.png,lamp1,294,371,34,32
4,4,06.png,lamp1,412,364,41,35
5,5,06.png,lamp1,572,351,50,40
6,6,06.png,lamp1,122,351,25,22
7,7,06.png,lamp1,185,343,28,23
8,8,06.png,lamp1,260,334,29,23
9,9,06.png,lamp1,344,325,30,26
10,10,06.png,lamp1,448,312,35,28
11,11,06.png,lamp1,578,297,42,33
12,12,06.png,lamp1,175,320,26,18
13,13,06.png,lamp1,236,311,24,20
14,14,06.png,lamp1,303,302,27,21
15,15,06.png,lamp1,382,289,28,23
16,16,06.png,lamp1,473,276,31,25
17,17,06.png,lamp1,583,261,34,28
