,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,09.png,lamp1,48,388,32,24
1,1,09.png,lamp1,113,384,29,24
2,2,09.png,lamp1,190,379,33,28
3,3,09.png,lamp1,286,374,33,31
4,4,09.png,lamp1,400,366,38,33
5,5,09.png,lamp1,555,357,45,37
6,6,09.png,lamp1,120,349,25,21
7,7,09.png,lamp1,182,343,27,24
8,8,09.png,lamp1,254,336,26,24
9,9,09.png,lamp1,338,327,32,25
10,10,09.png,lamp1,439,316,35,31
11,11,09.png,lamp1,567,305,40,32
12,12,09.png,lamp1,173,320,23,19
13,13,09.png,lamp1,233,311,25,20
14,14,09.png,lamp1,299,303,25,21
15,15,09.png,lamp1,376,293,26,23
16,16,09.png,lamp1,465,282,29,25
17,17,09.png,lamp1,574,266,31,26
