,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,03.png,lamp1,51,372,30,25
1,1,03.png,lamp1,115,371,30,25
2,2,03.png,lamp1,192,371,33,30
3,3,03.png,lamp1,286,369,35,30
4,4,03.png,lamp1,399,370,39,37
5,5,03.png,lamp1,554,368,46,36
6,6,03.png,lamp1,124,337,26,21
7,7,03.png,lamp1,187,335,28,22
8,8,03.png,lamp1,258,332,27,24
9,9,03.png,lamp1,341,329,30,26
10,10,03.png,lamp1,442,324,33,28
11,11,03.png,lamp1,570,318,41,31
12,12,03.png,lamp1,180,312,23,17
13,13,03.png,lamp1,238,308,23,20
14,14,03.png,lamp1,304,304,23,20
15,15,03.png,lamp1,382,298,27,24
16,16,03.png,lamp1,471,291,31,25
17,17,03.png,lamp1,580,282,35,26
