,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,05.png,lamp1,60,380,29,24
1,1,05.png,lamp1,125,378,30,27
2,2,05.png,lamp1,201,370,31,28
3,3,05.png,lamp1,295,367,34,30
4,4,05.png,lamp1,409,361,38,35
5,5,05.png,lamp1,568,351,45,38
6,6,05.png,lamp1,130,341,24,19
7,7,05.png,lamp1,191,336,26,21
8,8,05.png,lamp1,263,328,27,24
9,9,05.png,lamp1,347,321,30,26
10,10,05.png,lamp1,449,311,33,27
11,11,05.png,lamp1,578,298,38,31
12,12,05.png,lamp1,183,312,23,19
13,13,05.png,lamp1,242,305,22,20
14,14,05.png,lamp1,309,296,25,21
15,15,05.png,lamp1,386,287,27,24
16,16,05.png,lamp1,475,275,30,25
17,17,05.png,lamp1,585,261,34,28
