,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,02.png,lamp1,597,399,30,26
1,1,1,02.png,lamp1,530,394,31,30
2,2,2,02.png,lamp1,450,388,34,30
3,3,3,02.png,lamp1,353,381,36,33
4,4,4,02.png,lamp1,234,372,40,38
5,5,5,02.png,lamp1,75,360,47,40
6,6,6,02.png,lamp1,525,358,27,26
7,7,7,02.png,lamp1,460,353,31,27
8,8,8,02.png,lamp1,386,343,29,26
9,9,9,02.png,lamp1,301,332,30,27
10,10,10,02.png,lamp1,197,321,35,27
11,11,11,02.png,lamp1,68,307,38,32
12,12,12,02.png,lamp1,470,328,26,20
13,13,13,02.png,lamp1,410,318,24,21
14,14,14,02.png,lamp1,342,310,24,22
15,15,15,02.png,lamp1,263,299,28,23
16,16,16,02.png,lamp1,174,287,33,28
17,17,17,02.png,lamp1,64,269,36,29
