,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,06.png,lamp1,589,391,33,24
1,1,1,06.png,lamp1,522,385,34,27
2,2,2,06.png,lamp1,445,379,34,29
3,3,3,06.png,lamp1,346,371,34,32
4,4,4,06.png,lamp1,228,364,41,35
5,5,5,06.png,lamp1,68,351,50,40
6,6,6,06.png,lamp1,518,351,25,22
7,7,7,06.png,lamp1,455,343,28,23
8,8,8,06.png,lamp1,380,334,29,23
9,9,9,06.png,lamp1,296,325,30,26
10,10,10,06.png,lamp1,192,312,35,28
11,11,11,06.png,lamp1,62,297,42,33
12,12,12,06.png,lamp1,465,320,26,18
13,13,13,06.png,lamp1,404,311,24,20
14,14,14,06.png,lamp1,337,302,27,21
15,15,15,06.png,lamp1,258,289,28,23
16,16,16,06.png,lamp1,167,276,31,25
17,17,17,06.png,lamp1,57,261,34,28
