,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,09.png,lamp1,592,388,32,24
1,1,1,09.png,lamp1,527,384,29,24
2,2,2,09.png,lamp1,450,379,33,28
3,3,3,09.png,lamp1,354,374,33,31
4,4,4,09.png,lamp1,240,366,38,33
5,5,5,09.png,lamp1,85,357,45,37
6,6,6,09.png,lamp1,520,349,25,21
7,7,7,09.png,lamp1,458,343,27,24
8,8,8,09.png,lamp1,386,336,26,24
9,9,9,09.png,lamp1,302,327,32,25
10,10,10,09.png,lamp1,201,316,35,31
11,11,11,09.png,lamp1,73,305,40,32
12,12,12,09.png,lamp1,467,320,23,19
13,13,13,09.png,lamp1,407,311,25,20
14,14,14,09.png,lamp1,341,303,25,21
15,15,15,09.png,lamp1,264,293,26,23
16,16,16,09.png,lamp1,175,282,29,25
17,17,17,09.png,lamp1,66,266,31,26
