,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,03.png,lamp1,589,372,30,25
1,1,1,03.png,lamp1,525,371,30,25
2,2,2,03.png,lamp1,448,371,33,30
3,3,3,03.png,lamp1,354,369,35,30
4,4,4,03.png,lamp1,241,370,39,37
5,5,5,03.png,lamp1,86,368,46,36
6,6,6,03.png,lamp1,516,337,26,21
7,7,7,03.png,lamp1,453,335,28,22
8,8,8,03.png,lamp1,382,332,27,24
9,9,9,03.png,lamp1,299,329,30,26
10,10,10,03.png,lamp1,198,324,33,28
11,11,11,03.png,lamp1,70,318,41,31
12,12,12,03.png,lamp1,460,312,23,17
13,13,13,03.png,lamp1,402,308,23,20
14,14,14,03.png,lamp1,336,304,23,20
15,15,15,03.png,lamp1,258,298,27,24
16,16,16,03.png,lamp1,169,291,31,25
17,17,17,03.png,lamp1,60,282,35,26
