,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,04.png,lamp1,59,389,29,24
1,1,04.png,lamp1,125,385,30,28
2,2,04.png,lamp1,203,378,32,29
3,3,04.png,lamp1,299,372,33,32
4,4,04.png,lamp1,416,363,40,34
5,5,04.png,lamp1,577,349,50,37
6,6,04.png,lamp1,129,349,26,22
7,7,04.png,lamp1,192,341,27,21
8,8,04.png,lamp1,264,332,29,23
9,9,04.png,lamp1,349,322,31,27
10,10,04.png,lamp1,453,309,36,31
11,11,04.png,lamp1,583,295,40,35
12,12,04.png,lamp1,181,316,22,20
13,13,04.png,lamp1,241,308,24,20
14,14,04.png,lamp1,307,298,26,23
15,15,04.png,lamp1,386,286,29,23
16,16,04.png,lamp1,478,272,30,26
17,17,04.png,lamp1,588,255,36,26
