,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,08.png,lamp1,49,404,32,26
1,1,08.png,lamp1,115,399,31,27
2,2,08.png,lamp1,194,391,34,27
3,3,08.png,lamp1,292,382,35,35
4,4,08.png,lamp1,409,373,40,34
5,5,08.png,lamp1,567,358,49,38
6,6,08.png,lamp1,119,363,27,21
7,7,08.png,lamp1,184,355,26,24
8,8,08.png,lamp1,255,343,27,25
9,9,08.png,lamp1,341,333,30,27
10,10,08.png,lamp1,445,320,35,30
11,11,08.png,lamp1,574,304,40,31
12,12,08.png,lamp1,173,331,25,18
13,13,08.png,lamp1,232,321,24,22
14,14,08.png,lamp1,300,311,25,21
15,15,08.png,lamp1,377,297,28,25
16,16,08.png,lamp1,468,282,31,25
17,17,08.png,lamp1,577,265,33,25
